SK_DATA;DATA;NR_ANO;NM_TRIMESTRE;NM_MES;NR_SEMANA;NR_DIA;NM_DIA_SEMANA;NR_DIA_SEMANA
48d218fa67015223ace77ef0973c3d455544bfdd844ea1ecfe74210c7a8ddf7b;2018-02-20;2018;1º Trimestre;Fevereiro;8;20;Terça-feira;3
7c30371aedc8d1e61290d8347864280341a2b4133a1ea57e93a249ececa40d40;2018-05-25;2018;2º Trimestre;Maio;21;25;Sexta-feira;6
04db1857a0f1817df98de066067be2797153d7a15915bafb0409a8a16ca33b40;2018-12-09;2018;4º Trimestre;Dezembro;49;9;Domingo;1
bc02f06b646b7d9542fd27c3211c5164f81ba168a896740ca68ae55402d11947;2017-10-04;2017;4º Trimestre;Outubro;40;4;Quarta-feira;4
fe46e6aa719b21f935061b36f24e58ac94677127d4021c24ed6c65c0515a0381;2017-01-10;2017;1º Trimestre;Janeiro;2;10;Terça-feira;3
1ae71c7db416bc419c45081311772a95c8f3dbd9488a52015c0401d742f4172b;2017-03-03;2017;1º Trimestre;Março;9;3;Sexta-feira;6
46c8cb9ac39871db37dd35e5ee21c80efd0979645f39d86ad1bbe74764c11d6a;2019-02-02;2019;1º Trimestre;Fevereiro;5;2;Sábado;7
6b431df8c5dfeb225ab1c3740796892d08123c6046acb5bf51c677f63b819428;2017-10-18;2017;4º Trimestre;Outubro;42;18;Quarta-feira;4
e56b1ec0d6b80829ad4fd44e37a6a624eba994340923d9dd876e671779e90e9e;2018-01-04;2018;1º Trimestre;Janeiro;1;4;Quinta-feira;5
4a89960f3d61e36e04fbf037cbb122e4915914eddba9881eebb5b08ebe1b6f0d;2017-04-12;2017;2º Trimestre;Abril;15;12;Quarta-feira;4
5391f5ccaf99b16be47d6f2c4ee82416122b5f53ccb2b37a2c3c2e77c90cbbf5;2018-01-08;2018;1º Trimestre;Janeiro;2;8;Segunda-feira;2
805431b44b48b189a1289b2ea306f8471852888954c114724d5039d4a2de2011;2017-03-01;2017;1º Trimestre;Março;9;1;Quarta-feira;4
aa5ada49f2cb2583438279afe916d0fc4c0ec2a84bf0a4a6cbf8e8e1d6e91b17;2018-01-21;2018;1º Trimestre;Janeiro;3;21;Domingo;1
e50b7af96b182957153d25c5c2cbcb9ec6ed6dc203caa2df229228833c22d668;2017-08-14;2017;3º Trimestre;Agosto;33;14;Segunda-feira;2
50e6751403f7d3203c31a56ebbcf77b834d827b55426eb5371dac58508877615;2017-10-27;2017;4º Trimestre;Outubro;43;27;Sexta-feira;6
377ad2044cc7b7f846be2a725e2455923aebf04b10a06e87c7635d027f0b634b;2019-03-14;2019;1º Trimestre;Março;11;14;Quinta-feira;5
e399209aa377569fb0923f4b35feb4b67952679cdfbe8cb6301c3e26d75e7631;2017-04-18;2017;2º Trimestre;Abril;16;18;Terça-feira;3
674c9f6285d2894089cf4cb25bbe2a0e8dfd227cb99d84c00dea51298d759a0e;2018-04-27;2018;2º Trimestre;Abril;17;27;Sexta-feira;6
a1613fabc560196b68fe2b3b10af621cd521268a2ca1cd8e995c051b6484b104;2018-06-24;2018;2º Trimestre;Junho;25;24;Domingo;1
b31867c0b5f29891890515ca793ddca7c7c8a6d2cb0988bdeb1cdfd128cc600f;2018-10-26;2018;4º Trimestre;Outubro;43;26;Sexta-feira;6
b668cb5d91cb6f186904a97494d7a01f996ccaadf507a098c3681a1d8d446df8;2017-05-18;2017;2º Trimestre;Maio;20;18;Quinta-feira;5
1a6570741222e4981bc4d4176216a29ae094e1e8e650a9572eb16fcc7adbf96e;2017-01-23;2017;1º Trimestre;Janeiro;4;23;Segunda-feira;2
1ba11fd709e047dfa6ff70f80266f5dd76fac405771e02dad1c162f9ed8a0c66;2017-07-05;2017;3º Trimestre;Julho;27;5;Quarta-feira;4
5ca98180f983e5834ad2e1b42e7534034fb4c5b2e89985b5bdc0b7cd30d95cb7;2017-07-03;2017;3º Trimestre;Julho;27;3;Segunda-feira;2
6399dd0ff696b0e6afa22f2ceb381536d513d9f7678561fb2fbe300463926b3d;2018-10-14;2018;4º Trimestre;Outubro;41;14;Domingo;1
7b118e9fa4ac85491287bbb4127243f58d05bed2344b5d220c28a202439b8702;2017-07-24;2017;3º Trimestre;Julho;30;24;Segunda-feira;2
fe95aa043a92a305ea212e2776550dd52c747920f49cb487e9557c2c88a9623e;2017-02-23;2017;1º Trimestre;Fevereiro;8;23;Quinta-feira;5
55d3e2541e9d78b79e06bfaad446d892f076b87bf8b908cd23a93bdda6e17018;2018-09-08;2018;3º Trimestre;Setembro;36;8;Sábado;7
b8cd607bf8d60cdc27f5fd483644a19dc62266738e83f51b2c01da2cc271656b;2018-10-27;2018;4º Trimestre;Outubro;43;27;Sábado;7
cdc3966df8c0c6ab6687788cc3f762e15b44184bb7923a2691cf1fcc1b9cc518;2018-02-06;2018;1º Trimestre;Fevereiro;6;6;Terça-feira;3
7911b5bb1abf1602636572cbb1c0ed04c384589a3b71d1bd1cd71bb8d4664570;2018-06-28;2018;2º Trimestre;Junho;26;28;Quinta-feira;5
d731220997f22bbdbf1e84f8bc613eb21001d90ed5679841517cd0a54b33e3d3;2018-06-21;2018;2º Trimestre;Junho;25;21;Quinta-feira;5
45019020922f77df2cea71faf89c32241a28748d45f5e5835c6e1dee0ade6e36;2017-12-06;2017;4º Trimestre;Dezembro;49;6;Quarta-feira;4
5af807ab00cafe71d84fab98eb5e6e55bb43109a274d7a397732e6b967e4a8c4;2017-02-15;2017;1º Trimestre;Fevereiro;7;15;Quarta-feira;4
7a6216f7ec938ae026c7d56b1fa52a2fae3d3305318a2f431407f5a52b702818;2018-01-13;2018;1º Trimestre;Janeiro;2;13;Sábado;7
7fb7745079447f0693b505a3ac152bd52e4b6543f9e397fe60b4893547009b72;2017-03-24;2017;1º Trimestre;Março;12;24;Sexta-feira;6
b8557fe89406da20fcec4b5c5552104ffc183697a768e3db192240f393f16cce;2018-12-02;2018;4º Trimestre;Dezembro;48;2;Domingo;1
d84c721193a618e2c4d63571686af880791e05e7a8f645f901a5674e8e41e59f;2017-03-29;2017;1º Trimestre;Março;13;29;Quarta-feira;4
9bee0078388ab3450452b28c26afdcbb32e77f5be84e9ca9a5bfddd89cee1e26;2017-03-06;2017;1º Trimestre;Março;10;6;Segunda-feira;2
f3dcb359d2ef485d27df6e1928e6cd0c5a16d4efff10762ba39b65f43f544f5a;2019-02-25;2019;1º Trimestre;Fevereiro;9;25;Segunda-feira;2
1e4efdcb375efbbd0164d461e49a445f25cb211e8ef82c5b8b4c487a24c908c3;2019-02-08;2019;1º Trimestre;Fevereiro;6;8;Sexta-feira;6
37aaf2ae93b23e20c86004f7d3db52f06ac1006e17c49a64a0b893e1b0ea471d;2019-02-11;2019;1º Trimestre;Fevereiro;7;11;Segunda-feira;2
5422a7849c641183ce93cadf25011735f47ce563b5941604a6626eb3f99e7d33;2018-07-09;2018;3º Trimestre;Julho;28;9;Segunda-feira;2
5bb41f17d96e235afa57b1297d8d379c6131836c8aea4236fb1811acaa99d65c;2018-09-09;2018;3º Trimestre;Setembro;36;9;Domingo;1
644e822c23edb211bd1d1b2430e01560aeb8543917bded0963d899759ef076a0;2017-08-18;2017;3º Trimestre;Agosto;33;18;Sexta-feira;6
a8f0a41e59fff0f19e3d9817a852521ff126bc2e50d31633daff468c031df1de;2018-11-09;2018;4º Trimestre;Novembro;45;9;Sexta-feira;6
ef5207de829fd764cdb19cf643f528fb378aa1ec70891ce817a8096abec959e6;2018-02-05;2018;1º Trimestre;Fevereiro;6;5;Segunda-feira;2
